;"SYSDRILL
Wellpath Report
Wellbore: Wellbore-76 Alt (PWB)";;;;;;;;
;;;;;;;;;
Wellbore;;;;;;;;;
Name;Created;Last Revised;;;;;;;
Wellbore-76; 9-Nov-2019;10-Nov-2019;;;;;;;
;;;;;;;;;
Well;;;;;;;;;
Name;Government ID;Last Revised;;;;;;;
Wellbore-76;;11-Dec-2018;;;;;;;
;;;;;;;;;
Wellpath Report;;;;;;;;;
MD[m];Inc[deg];Azi[deg];TVD[m];Dogleg [deg/30m];Vertical Section[m];Vertical Depth SS [m];North[m];East[m];
0,00;0,00;0,00;0,00;;0,00;-493,00;0,00N;0,00E;
30,00;0,00;0,00;30,00;==>;0,00;-463,00;0,00N;0,00E;
60,00;0,00;0,00;60,00;==>;0,00;-433,00;0,00N;0,00E;
90,00;0,00;0,00;90,00;==>;0,00;-403,00;0,00N;0,00E;
120,00;0,00;0,00;120,00;==>;0,00;-373,00;0,00N;0,00E;
150,00;0,00;0,00;150,00;==>;0,00;-343,00;0,00N;0,00E;
180,00;0,00;0,00;180,00;==>;0,00;-313,00;0,00N;0,00E;
210,00;0,00;0,00;210,00;==>;0,00;-283,00;0,00N;0,00E;
240,00;0,00;0,00;240,00;==>;0,00;-253,00;0,00N;0,00E;
270,00;0,00;0,00;270,00;==>;0,00;-223,00;0,00N;0,00E;
300,00;0,00;0,00;300,00;==>;0,00;-193,00;0,00N;0,00E;
330,00;0,00;0,00;330,00;==>;0,00;-163,00;0,00N;0,00E;
360,00;0,00;0,00;360,00;==>;0,00;-133,00;0,00N;0,00E;
390,00;0,00;0,00;390,00;==>;0,00;-103,00;0,00N;0,00E;
420,00;0,00;0,00;420,00;==>;0,00;-73,00;0,00N;0,00E;
450,00;0,00;0,00;450,00;==>;0,00;-43,00;0,00N;0,00E;
480,00;0,00;0,00;480,00;==>;0,00;-13,00;0,00N;0,00E;
510,00;0,00;0,00;510,00;==>;0,00;17,00;0,00N;0,00E;
540,00;0,00;0,00;540,00;==>;0,00;47,00;0,00N;0,00E;
570,00;0,00;0,00;570,00;==>;0,00;77,00;0,00N;0,00E;
600,00;0,00;0,00;600,00;==>;0,00;107,00;0,00N;0,00E;
630,00;0,00;0,00;630,00;==>;0,00;137,00;0,00N;0,00E;
660,00;0,00;0,00;660,00;==>;0,00;167,00;0,00N;0,00E;
690,00;0,00;0,00;690,00;==>;0,00;197,00;0,00N;0,00E;
720,00;0,00;0,00;720,00;==>;0,00;227,00;0,00N;0,00E;
750,00;0,00;0,00;750,00;==>;0,00;257,00;0,00N;0,00E;
780,00;0,00;0,00;780,00;==>;0,00;287,00;0,00N;0,00E;
810,00;0,00;0,00;810,00;==>;0,00;317,00;0,00N;0,00E;
840,00;0,00;0,00;840,00;==>;0,00;347,00;0,00N;0,00E;
870,00;0,00;0,00;870,00;==>;0,00;377,00;0,00N;0,00E;
900,00;0,00;0,00;900,00;==>;0,00;407,00;0,00N;0,00E;
930,00;0,00;0,00;930,00;==>;0,00;437,00;0,00N;0,00E;
960,00;0,00;0,00;960,00;==>;0,00;467,00;0,00N;0,00E;
990,00;0,00;0,00;990,00;==>;0,00;497,00;0,00N;0,00E;
1020,00;0,00;0,00;1020,00;==>;0,00;527,00;0,00N;0,00E;
1050,00;0,00;0,00;1050,00;==>;0,00;557,00;0,00N;0,00E;
1080,00;0,00;0,00;1080,00;==>;0,00;587,00;0,00N;0,00E;
1110,00;0,00;0,00;1110,00;==>;0,00;617,00;0,00N;0,00E;
1140,00;0,00;0,00;1140,00;==>;0,00;647,00;0,00N;0,00E;
1170,00;0,00;0,00;1170,00;==>;0,00;677,00;0,00N;0,00E;
1200,00;0,00;0,00;1200,00;==>;0,00;707,00;0,00N;0,00E;
1230,00;0,00;0,00;1230,00;==>;0,00;737,00;0,00N;0,00E;
1260,00;0,00;0,00;1260,00;==>;0,00;767,00;0,00N;0,00E;
1290,00;0,00;0,00;1290,00;==>;0,00;797,00;0,00N;0,00E;
1300,00;0,00;200,37;1300,00;==>;0,00;807,00;0,00N;0,00E;
